,Unnamed: 0,product_title,product_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,delivery,has_variations,Sales_per_last_month
0,0,Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue,99.0,USD,4.0,1319,16,69.88,False,False,True,False,"FREE delivery Tue, Sep 24 Only 1 left in stock - order soon.",False,4000.0
1,1,"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Ring Grip Case Bundle) (Light Blue)",153.99,USD,4.2,186,4,147.5,False,False,True,False,"FREE delivery Tue, Sep 24",False,1000.0
2,2,"Samsung Galaxy A03s Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",69.0,USD,3.8,597,35,64.99,False,False,True,False,"FREE delivery Tue, Sep 24",True,2000.0
3,3,TracFone | Motorola Moto g Pure | Locked | 32GB | 4000 mAh Battery | 13 MP Dual Camera System | 6.5&quot; Max Vision HD+ Display | Blue,49.99,USD,4.2,2814,3,43.99,False,False,True,False,"FREE delivery Tue, Sep 24",False,500.0
4,4,"Samsung Galaxy A13 5G Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 64GB, Long Lasting Battery, Expandable Storage, Triple Lens Camera, Infinite Display, Black (Renewed)",88.09,USD,3.8,1338,31,70.4,False,False,True,False,"FREE delivery Mon, Sep 30",False,500.0
5,5,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",49.99,USD,4.4,3843,3,25.19,False,True,True,False,"FREE delivery Tue, Sep 24",False,4000.0
6,6,"Motorola Moto G 5G | 2023 | Unlocked | Made for US 4/128GB | 48 MPCamera | Ink Blue, 163.94x74.98x8.39",149.99,USD,4.2,2637,8,100.72,False,False,True,False,"FREE delivery Tue, Sep 24",True,2000.0
7,7,Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Light Blue,149.5,USD,4.2,253,9,146.5,False,False,True,False,"FREE delivery Tue, Sep 24",False,500.0
8,8,Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Blue Black,139.99,USD,4.3,573,15,136.62,False,False,True,False,"FREE delivery Tue, Sep 24",False,1000.0
9,9,TracFone | Samsung Galaxy A03s | Locked | 32GB | 5000mAh Battery | 48MP Main Camera | 6.5-in. HD+Infinity-V Display | Black,59.99,USD,4.0,258,4,50.48,False,False,True,False,"FREE delivery Tue, Sep 24",False,1000.0
10,10,Motorola One Ace | 2021 | 2-Day Battery | Unlocked | Made for US 4/64GB | 48MP Camera | Volcanic Gray,89.0,USD,4.0,204,10,85.44,False,False,True,False,"FREE delivery Tue, Sep 24",False,1000.0
11,11,Samsung Galaxy A25 5G A256E 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin Variant/US Compatible LTE) - Blue,195.0,USD,4.0,259,15,164.5,False,False,True,False,"FREE delivery Wed, Sep 25",True,400.0
12,12,"SAMSUNG Galaxy A15 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Expandable Storage, Knox Security, Super Fast Charging, US Version, 2024, Blue Black",199.99,USD,4.0,610,2,154.0,False,False,True,True,"FREE delivery Tue, Sep 24",True,2000.0
13,13,OnePlus Nord N30 5G | Unlocked Dual-SIM Android Smart Phone | 6.7&quot; LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray,249.99,USD,4.3,963,5,209.28,False,False,True,False,"FREE delivery Tue, Sep 24",False,1000.0
